category_num,name,titleNum,page
9,アイドルマスター,72,3
5,シンデレラガールズ,590,29
21,ミリオンライブ！,19,0
43,SideM,1,0
60,悪魔のリドル,14,0
59,IS＜インフィニット・ストラトス＞,1,0
27,御城プロジェクト,4,0
22,ガールズ＆パンツァー,25,1
33,ガヴリールドロップアウト,846,42
61,カガクチョップ,9,0
64,がっこうぐらし！,4,0
29,からかい上手の高木さん,1,0
4,艦隊これくしょん,52,2
32,キルミーベイベー,4,0
56,キルラキル,12,0
69,グラップラー刃牙,1,0
12,けいおん！,1,0
36,月刊少女野崎くん,3,0
34,けものフレンズ,37,1
16,ご注文はうさぎですか？,3,0
54,こちら葛飾区亀有公園前派出所,1,0
8,この素晴らしい世界に祝福を！,6,0
31,小林さんちのメイドラゴン,14,0
10,咲-Saki-,1,0
51,サザエさん,1,0
50,3月のライオン,1,0
23,STEINS;GATE,1,0
58,食戟のソーマ,4,0
26,進撃の巨人,1,0
39,新世紀エヴァンゲリオン,3,0
53,スーパーロボット大戦,1,0
13,涼宮ハルヒの憂鬱,8,0
7,ステラのまほう,2,0
35,ストライクウィッチーズ,1,0
42,ゼロの使い魔,1,0
2,ダンジョンに出会いを求めるのは間違っているだろうか,2,0
41,ちびまる子ちゃん,1,0
68,ディーふらぐ！,2,0
52,とある魔術の禁書目録,1,0
44,東方Project,1,0
20,賭博黙示録カイジ,3,0
48,ドラえもん,1,0
38,ドラゴンボール,5,0
14,NEW GAME！,2,0
67,のんのんびより,1,0
47,パープル式部,1,0
62,はたらく魔王さま！,7,0
24,ひだまりスケッチ,1,0
30,干物妹！うまるちゃん,1,0
28,FINAL FANTASY,1,0
63,Fate/stay night,1,0
66,炎の闘球児ドッジ弾平,1,0
15,ローゼンメイデン,4,0
19,BLACK LAGOON,1,0
6,フリップフラッパーズ,5,0
57,僕のヒーローアカデミア,9,0
46,マクロスシリーズ,1,0
25,魔法少女育成計画,1,0
40,魔法少女まどか☆マギカ,1,0
3,魔法少女リリカルなのは,1,0
18,やはり俺の青春ラブコメはまちがっている。,10,0
37,幽☆遊☆白書,1,0
17,ゆるゆり,5,0
65,らき☆すた,1,0
11,ラブライブ！,82,4
1,Re:ゼロから始める異世界生活,4,0
45,リトルバスターズ！,2,0
49,笑ゥせぇるすまん,6,0
55,その他,2,0
0,ブログについて,1,0
